itemid,label,abbreviation,category,param_type,concept_terms,candidate_role,total_records,nonmissing_records,missing_record_values,stay_id_count,subject_id_count,year_group_record_distribution,assessments_per_stay_min,assessments_per_stay_p25,assessments_per_stay_median,assessments_per_stay_p75,assessments_per_stay_max,assessments_per_stay_mean,stays_with_one_record,positive_records,negative_records,unable_or_deep_sedation_records,positive_record_percent,negative_record_percent,unable_or_deep_sedation_record_percent,missing_record_value_percent,interpretation_note
228332,Delirium assessment,Delirium assessment,Pain/Sedation,Text,delirium,direct_delirium_assessment,610632,610632,0,72944,51987,2008 - 2010:102312; 2011 - 2013:130492; 2014 - 2016:157818; 2017 - 2019:134620; 2020 - 2022:85390,1,3,5,9,499,8.371243693792499,6896,119052,361125,130455,19.497,59.14,21.364,0,Direct positive/negative/UTA delirium assessment item.
228300,CAM-ICU MS change,CAM-ICU MS change,Pain/Sedation,Text,CAM,cam_icu_component,6550,6550,0,1665,1450,2008 - 2010:2340; 2011 - 2013:4210,1,1,2,4,55,3.933933933933934,580,931,4213,1406,14.214,64.321,21.466,0,"CAM-ICU component, not a standalone delirium outcome unless combined by a prespecified rule."
228301,CAM-ICU Inattention,CAM-ICU Inattention,Pain/Sedation,Text,CAM,cam_icu_component,953,953,0,387,365,2008 - 2010:265; 2011 - 2013:688,1,1,1,3,28,2.462532299741602,205,615,338,0,64.533,35.467,0.0,0,"CAM-ICU component, not a standalone delirium outcome unless combined by a prespecified rule."
228302,CAM-ICU RASS LOC,CAM-ICU RASS LOC,Pain/Sedation,Text,CAM;RASS/Richmond,cam_icu_component,1116,1116,0,453,424,2008 - 2010:319; 2011 - 2013:797,1,1,1,3,30,2.4635761589403975,233,756,360,0,67.742,32.258,0.0,0,"CAM-ICU component, not a standalone delirium outcome unless combined by a prespecified rule."
228303,CAM-ICU Disorganized thinking,CAM-ICU Disorganized thinking,Pain/Sedation,Text,CAM,cam_icu_component,15383,15383,0,2142,1836,2008 - 2010:5221; 2011 - 2013:10162,1,2,4,7,96,7.181605975723623,382,319,15064,0,2.074,97.926,0.0,0,"CAM-ICU component, not a standalone delirium outcome unless combined by a prespecified rule."
228334,CAM-ICU Altered LOC,CAM-ICU Altered LOC,Pain/Sedation,Text,CAM,cam_icu_component,129056,129056,0,24096,19363,2008 - 2010:22116; 2011 - 2013:22702; 2014 - 2016:34422; 2017 - 2019:32488; 2020 - 2022:17328,1,1,3,6,186,5.355909694555113,7905,107833,21223,0,83.555,16.445,0.0,0,"CAM-ICU component, not a standalone delirium outcome unless combined by a prespecified rule."
228335,CAM-ICU Disorganized thinking,CAM-ICU Disorganized thinking,Pain/Sedation,Text,CAM,cam_icu_component,4280,4280,0,2265,2060,2008 - 2010:1045; 2011 - 2013:1978; 2014 - 2016:1257,1,1,1,2,27,1.8896247240618103,1418,2304,1155,821,53.832,26.986,19.182,0,"CAM-ICU component, not a standalone delirium outcome unless combined by a prespecified rule."
228336,CAM-ICU Inattention,CAM-ICU Inattention,Pain/Sedation,Text,CAM,cam_icu_component,42055,42055,0,9047,7503,2008 - 2010:9982; 2011 - 2013:19596; 2014 - 2016:12477,1,1,2,5,103,4.648502265944512,3128,29600,8214,4241,70.384,19.532,10.084,0,"CAM-ICU component, not a standalone delirium outcome unless combined by a prespecified rule."
228337,CAM-ICU MS Change,CAM-ICU MS Change,Pain/Sedation,Text,CAM,cam_icu_component,167750,167750,0,23703,17824,2008 - 2010:39596; 2011 - 2013:79248; 2014 - 2016:48906,1,2,4,8,221,7.077163228283339,2609,42872,110155,14723,25.557,65.666,8.777,0,"CAM-ICU component, not a standalone delirium outcome unless combined by a prespecified rule."
229324,CAM-ICU Disorganized thinking,CAM-ICU Disorganized thinking,Pain/Sedation,Text,CAM,cam_icu_component,13082,13082,0,6071,5273,2008 - 2010:1983; 2011 - 2013:1126; 2014 - 2016:3417; 2017 - 2019:4435; 2020 - 2022:2121,1,1,1,2,31,2.1548344589029815,3450,9628,3454,0,73.597,26.403,0.0,0,"CAM-ICU component, not a standalone delirium outcome unless combined by a prespecified rule."
