section,category,definition,patient_count,percent_of_base
category_count,alcohol_related_disorders,documented_by_index,5148,11.11
category_count,alcohol_related_disorders,index_admission_recorded,4664,10.07
category_count,alcohol_related_disorders,strict_prior,1397,3.02
category_count,anxiety_disorders,documented_by_index,7259,15.67
category_count,anxiety_disorders,index_admission_recorded,6174,13.33
category_count,anxiety_disorders,strict_prior,2174,4.69
category_count,bipolar_disorders,documented_by_index,1262,2.72
category_count,bipolar_disorders,index_admission_recorded,1126,2.43
category_count,bipolar_disorders,strict_prior,429,0.93
category_count,dementia_cognitive_disorders,documented_by_index,2358,5.09
category_count,dementia_cognitive_disorders,index_admission_recorded,2183,4.71
category_count,dementia_cognitive_disorders,strict_prior,625,1.35
category_count,depressive_disorders,documented_by_index,8491,18.33
category_count,depressive_disorders,index_admission_recorded,7187,15.52
category_count,depressive_disorders,strict_prior,3072,6.63
category_count,other_psychiatric_disorders,documented_by_index,36,0.08
category_count,other_psychiatric_disorders,index_admission_recorded,31,0.07
category_count,other_psychiatric_disorders,strict_prior,6,0.01
category_count,other_substance_related_disorders,documented_by_index,3765,8.13
category_count,other_substance_related_disorders,index_admission_recorded,3196,6.9
category_count,other_substance_related_disorders,strict_prior,957,2.07
category_count,schizophrenia_spectrum_and_other_psychotic_disorders,documented_by_index,996,2.15
category_count,schizophrenia_spectrum_and_other_psychotic_disorders,index_admission_recorded,813,1.76
category_count,schizophrenia_spectrum_and_other_psychotic_disorders,strict_prior,374,0.81
category_count,secondary_psychiatric_due_to_physiological_condition,documented_by_index,44,0.09
category_count,secondary_psychiatric_due_to_physiological_condition,index_admission_recorded,35,0.08
category_count,secondary_psychiatric_due_to_physiological_condition,strict_prior,9,0.02
category_count,trauma_and_stressor_related_disorders,documented_by_index,1124,2.43
category_count,trauma_and_stressor_related_disorders,index_admission_recorded,891,1.92
category_count,trauma_and_stressor_related_disorders,strict_prior,403,0.87
overall,primary_psychiatric_comorbidity,documented_by_index,13895,30.0
overall,primary_psychiatric_comorbidity,index_admission_only,9369,20.23
overall,primary_psychiatric_comorbidity,strict_prior,4526,9.77
