icd_code,icd_code_norm,icd_version,mimic_long_title,official_source,official_code_description,official_default_category,official_default_category_description,all_ccsr_categories,all_ccsr_descriptions,clinical_priority_category,mapping_status,mapping_reason,primary_psychiatric_comorbidity_flag,dementia_flag,substance_flag
2910,2910,9,Alcohol withdrawal delirium,"AHRQ HCUP Single-Level CCS for ICD-9-CM Diagnoses, 2015",DELIRIUM TREMENS,660  ,Alcohol-related disorders,,,alcohol_related_disorders,included_non_primary,AHRQ CCS 660 or ICD-9 alcohol-related family. Excluded from primary exposure.,0,0,1
2911,2911,9,Alcohol-induced persisting amnestic disorder,"AHRQ HCUP Single-Level CCS for ICD-9-CM Diagnoses, 2015",ALCOHOL AMNESTIC SYND,660  ,Alcohol-related disorders,,,alcohol_related_disorders,included_non_primary,AHRQ CCS 660 or ICD-9 alcohol-related family. Excluded from primary exposure.,0,0,1
2912,2912,9,Alcohol-induced persisting dementia,"AHRQ HCUP Single-Level CCS for ICD-9-CM Diagnoses, 2015",ALCOHOLIC DEMENTIA NEC,660  ,Alcohol-related disorders,,,alcohol_related_disorders,included_non_primary,AHRQ CCS 660 or ICD-9 alcohol-related family. Excluded from primary exposure.,0,0,1
2913,2913,9,Alcohol-induced psychotic disorder with hallucinations,"AHRQ HCUP Single-Level CCS for ICD-9-CM Diagnoses, 2015",ALCOHOL HALLUCINOSIS,660  ,Alcohol-related disorders,,,alcohol_related_disorders,included_non_primary,AHRQ CCS 660 or ICD-9 alcohol-related family. Excluded from primary exposure.,0,0,1
29181,29181,9,Alcohol withdrawal,"AHRQ HCUP Single-Level CCS for ICD-9-CM Diagnoses, 2015",ALCOHOL WITHDRAWAL (Begin 1996),660  ,Alcohol-related disorders,,,alcohol_related_disorders,included_non_primary,AHRQ CCS 660 or ICD-9 alcohol-related family. Excluded from primary exposure.,0,0,1
29182,29182,9,Alcohol induced sleep disorders,"AHRQ HCUP Single-Level CCS for ICD-9-CM Diagnoses, 2015",ALCOH INDUCE SLEEP DISOR (Begin 2005),660  ,Alcohol-related disorders,,,alcohol_related_disorders,included_non_primary,AHRQ CCS 660 or ICD-9 alcohol-related family. Excluded from primary exposure.,0,0,1
29189,29189,9,Other alcohol-induced mental disorders,"AHRQ HCUP Single-Level CCS for ICD-9-CM Diagnoses, 2015",OT ALCOHOL PSYCHOSIS (Begin 1996),660  ,Alcohol-related disorders,,,alcohol_related_disorders,included_non_primary,AHRQ CCS 660 or ICD-9 alcohol-related family. Excluded from primary exposure.,0,0,1
2919,2919,9,Unspecified alcohol-induced mental disorders,"AHRQ HCUP Single-Level CCS for ICD-9-CM Diagnoses, 2015",ALCOHOLIC PSYCHOSIS NOS,660  ,Alcohol-related disorders,,,alcohol_related_disorders,included_non_primary,AHRQ CCS 660 or ICD-9 alcohol-related family. Excluded from primary exposure.,0,0,1
30300,30300,9,"Acute alcoholic intoxication in alcoholism, unspecified","AHRQ HCUP Single-Level CCS for ICD-9-CM Diagnoses, 2015",AC ALCOHOL INTOX-UNSPEC,660  ,Alcohol-related disorders,,,alcohol_related_disorders,included_non_primary,AHRQ CCS 660 or ICD-9 alcohol-related family. Excluded from primary exposure.,0,0,1
30301,30301,9,"Acute alcoholic intoxication in alcoholism, continuous","AHRQ HCUP Single-Level CCS for ICD-9-CM Diagnoses, 2015",AC ALCOHOL INTOX-CONTIN,660  ,Alcohol-related disorders,,,alcohol_related_disorders,included_non_primary,AHRQ CCS 660 or ICD-9 alcohol-related family. Excluded from primary exposure.,0,0,1
