group,time_day,at_risk_n,figure,variable,strategy,abs_smd,outcome,analysis,population,exposure_definition,severity_adjustment,weight_strategy,contrast,estimate_type,estimate,CI_lower,CI_upper,interpretation_flag,label,metric,lower,upper
1_no_primary_psych_no_delirium,0.0,13886.0,S1,,,,,,,,,,,,,,,,,,,
1_no_primary_psych_no_delirium,30.0,13429.0,S1,,,,,,,,,,,,,,,,,,,
1_no_primary_psych_no_delirium,90.0,12984.0,S1,,,,,,,,,,,,,,,,,,,
1_no_primary_psych_no_delirium,180.0,12595.0,S1,,,,,,,,,,,,,,,,,,,
1_no_primary_psych_no_delirium,365.0,12034.0,S1,,,,,,,,,,,,,,,,,,,
2_primary_psych_no_delirium,0.0,5980.0,S1,,,,,,,,,,,,,,,,,,,
2_primary_psych_no_delirium,30.0,5717.0,S1,,,,,,,,,,,,,,,,,,,
2_primary_psych_no_delirium,90.0,5465.0,S1,,,,,,,,,,,,,,,,,,,
2_primary_psych_no_delirium,180.0,5272.0,S1,,,,,,,,,,,,,,,,,,,
2_primary_psych_no_delirium,365.0,5008.0,S1,,,,,,,,,,,,,,,,,,,
3_no_primary_psych_delirium,0.0,6022.0,S1,,,,,,,,,,,,,,,,,,,
3_no_primary_psych_delirium,30.0,5456.0,S1,,,,,,,,,,,,,,,,,,,
3_no_primary_psych_delirium,90.0,5113.0,S1,,,,,,,,,,,,,,,,,,,
3_no_primary_psych_delirium,180.0,4884.0,S1,,,,,,,,,,,,,,,,,,,
3_no_primary_psych_delirium,365.0,4572.0,S1,,,,,,,,,,,,,,,,,,,
4_primary_psych_delirium,0.0,3478.0,S1,,,,,,,,,,,,,,,,,,,
4_primary_psych_delirium,30.0,3152.0,S1,,,,,,,,,,,,,,,,,,,
4_primary_psych_delirium,90.0,2970.0,S1,,,,,,,,,,,,,,,,,,,
4_primary_psych_delirium,180.0,2825.0,S1,,,,,,,,,,,,,,,,,,,
4_primary_psych_delirium,365.0,2651.0,S1,,,,,,,,,,,,,,,,,,,
,,,S2,admission_location_group,trim_1_99_weighted_classifiable,0.0347864900800663,,,,,,,,,,,,,,,,
,,,S2,admission_location_group,trim_5_95_weighted_classifiable,0.0448037910515772,,,,,,,,,,,,,,,,
,,,S2,admission_location_group,unweighted_classifiable,0.0785377684930378,,,,,,,,,,,,,,,,
,,,S2,admission_type_group,trim_1_99_weighted_classifiable,0.0447074367660446,,,,,,,,,,,,,,,,
,,,S2,admission_type_group,trim_5_95_weighted_classifiable,0.0574447592906186,,,,,,,,,,,,,,,,
,,,S2,admission_type_group,unweighted_classifiable,0.1155243784029244,,,,,,,,,,,,,,,,
,,,S2,age_at_index_admission,trim_1_99_weighted_classifiable,0.0183588400057713,,,,,,,,,,,,,,,,
,,,S2,age_at_index_admission,trim_5_95_weighted_classifiable,0.0165794717090214,,,,,,,,,,,,,,,,
