relative_path,line_number,matched_term,issue,line_text
.zenodo.json,10,0000-0002-5858-4825,wrong_orcid_linked_to_jieyang_dong,"""orcid"": ""0000-0002-5858-4825"","
CITATION.cff,9,0000-0002-5858-4825,wrong_orcid_linked_to_jieyang_dong,"orcid: ""https://orcid.org/0000-0002-5858-4825"""
LICENSE,3,Jieyang Dong,,Copyright (c) 2026 Jieyang Dong and Ge Zhang
LICENSE,3,Ge Zhang,,Copyright (c) 2026 Jieyang Dong and Ge Zhang
README.md,69,Jieyang Dong,,Jieyang Dong and Ge Zhang contributed equally to this work.
README.md,69,Ge Zhang,,Jieyang Dong and Ge Zhang contributed equally to this work.
README.md,71,0000-0002-5858-4825,wrong_orcid_linked_to_jieyang_dong,- Jieyang Dong (ORCID: 0000-0002-5858-4825)
README.md,71,Jieyang Dong,,- Jieyang Dong (ORCID: 0000-0002-5858-4825)
README.md,72,Ge Zhang,,- Ge Zhang
README.md,76,Ge Zhang,ge_zhang_orcid_missing_in_author_metadata_context,Corresponding author: Ge Zhang <3204091@zju.edu.cn>
RELEASE_NOTES_v1.0.2.md,6,Jieyang Dong,,- The final authors are Jieyang Dong and Ge Zhang.
RELEASE_NOTES_v1.0.2.md,6,Ge Zhang,,- The final authors are Jieyang Dong and Ge Zhang.
RELEASE_NOTES_v1.0.2.md,7,Jieyang Dong,,- Jieyang Dong and Ge Zhang contributed equally to this work.
RELEASE_NOTES_v1.0.2.md,7,Ge Zhang,,- Jieyang Dong and Ge Zhang contributed equally to this work.
RELEASE_NOTES_v1.0.2.md,8,Ge Zhang,,- Corresponding author: Ge Zhang <3204091@zju.edu.cn>.
