model,group,label,standardized_365d_mortality_risk,risk_ci95_lower,risk_ci95_upper,risk_difference_vs_group1,risk_difference_ci95_lower,risk_difference_ci95_upper,risk_ratio_vs_group1,risk_ratio_ci95_lower,risk_ratio_ci95_upper,bootstrap_successful_iterations,outcome,source_version,standardized_cif,ci95_lower,ci95_upper
Model 2,1_no_primary_psych_no_delirium,No psychiatric comorbidity / no delirium,0.1525509405050287,0.1465417264122823,0.1585687916590928,0.0,0.0,0.0,1.0,1.0,1.0,1000,365-day mortality,primary_mortality_v1_1_fixed_horizon_logistic,,,
Model 2,2_primary_psych_no_delirium,Psychiatric comorbidity / no delirium,0.1673523194513031,0.158515327506535,0.1766366795600372,0.0148013789462743,0.0041526013583579,0.0260560583783259,1.0970258124746626,1.0266811159050355,1.173794510286332,1000,365-day mortality,primary_mortality_v1_1_fixed_horizon_logistic,,,
Model 2,3_no_primary_psych_delirium,No psychiatric comorbidity / delirium,0.2023515497163726,0.1940646993738574,0.2123892059112299,0.0498006092113438,0.0395019820335447,0.06120919523605,1.3264523250166536,1.252924434675749,1.412284098428268,1000,365-day mortality,primary_mortality_v1_1_fixed_horizon_logistic,,,
Model 2,4_primary_psych_delirium,Psychiatric comorbidity / delirium,0.2019401074885473,0.1891877565476692,0.2136315815465747,0.0493891669835185,0.0357316891052797,0.0627176251281789,1.3237552441172296,1.2301703102382584,1.4226545489474858,1000,365-day mortality,primary_mortality_v1_1_fixed_horizon_logistic,,,
Model 2,1_no_primary_psych_no_delirium,No psychiatric comorbidity / no delirium,,,,0.0,0.0,0.0,1.0,1.0,1.0,1000,readmission_90d,readmission_cif_v1_2_uncentered_baseline,0.2517341502309366,0.2438561691305211,0.2598822545133429
Model 2,2_primary_psych_no_delirium,Psychiatric comorbidity / no delirium,,,,0.0229517713434047,0.0095999923930864,0.0356663888912468,1.0911746432589666,1.0376886304331685,1.1446878784712682,1000,readmission_90d,readmission_cif_v1_2_uncentered_baseline,0.2746859215743413,0.2629178589882624,0.2860296604831011
Model 2,3_no_primary_psych_delirium,No psychiatric comorbidity / delirium,,,,0.0172731215623159,0.0016402589294353,0.0318935680749633,1.0686165208275076,1.0064980343257908,1.1280493477278075,1000,readmission_90d,readmission_cif_v1_2_uncentered_baseline,0.2690072717932525,0.255729292390324,0.2814122339743344
Model 2,4_primary_psych_delirium,Psychiatric comorbidity / delirium,,,,0.0231574069029439,0.004858588596778,0.0427189366946305,1.0919915191550285,1.0191838689495414,1.1733921031186318,1000,readmission_90d,readmission_cif_v1_2_uncentered_baseline,0.2748915571338806,0.2580781929407373,0.2919537264688718
Model 2,1_no_primary_psych_no_delirium,No psychiatric comorbidity / no delirium,,,,0.0,0.0,0.0,1.0,1.0,1.0,1000,icu_readmission_365d,readmission_cif_v1_2_uncentered_baseline,0.1312851943844716,0.1248590315653255,0.1376785075926622
Model 2,2_primary_psych_no_delirium,Psychiatric comorbidity / no delirium,,,,-0.001680384262894,-0.0132082895830446,0.0083775686709874,0.9872005044378956,0.9030015097423228,1.0647996334084644,1000,icu_readmission_365d,readmission_cif_v1_2_uncentered_baseline,0.1296048101215775,0.120553341857503,0.1382648982840418
Model 2,3_no_primary_psych_delirium,No psychiatric comorbidity / delirium,,,,0.0177493936259443,0.0052916106839829,0.0312030506246559,1.135197222422239,1.0380294354417638,1.2457211171057414,1000,icu_readmission_365d,readmission_cif_v1_2_uncentered_baseline,0.1490345880104158,0.1389732942921986,0.1601059336698076
Model 2,4_primary_psych_delirium,Psychiatric comorbidity / delirium,,,,-0.0025182928297531,-0.0170992712211992,0.0116533039024076,0.9808181505800396,0.8756663514013615,1.0926709413504252,1000,icu_readmission_365d,readmission_cif_v1_2_uncentered_baseline,0.1287669015547184,0.1172557448352934,0.1418513281382793
