model,metric,estimate,ci95_lower,ci95_upper,bootstrap_successful_iterations,source_file,term,HR,CI95_lower,CI95_upper,wald_p_value,interaction_lrt_chisq,interaction_lrt_df,interaction_lrt_p_value,analysis_n,event_n,penalizer,time_window,outcome,formal_interpretability,synergy_index_same_rr_direction,synergy_index_denom,synergy_index_bootstrap_denom_sign_flip_fraction
Model 1,R00,0.1520294453518227,0.1461189259566425,0.1580281077246179,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 1,R10,0.1663416106914023,0.1573124129392156,0.1757596778445966,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 1,R01,0.204063832325649,0.1959283189460824,0.2137274548366747,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 1,R11,0.2025523821443459,0.1906503748122105,0.2145228908273047,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 1,interaction_contrast,-0.0158236155208827,-0.034376591747141,0.0017697961444772,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 1,RR10,1.0941407456066077,1.0251301288308186,1.1711114441788046,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 1,RR01,1.3422651898348352,1.2688978214621818,1.4234970225546872,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 1,RR11,1.3323233645666748,1.2391352634219073,1.425513168609354,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 1,RERI,-0.1040825708747679,-0.229018128422853,0.01139210588551,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 1,AP,-0.0781211030616578,-0.1770073356679334,0.0083809568612314,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 1,synergy_index,0.7615005607806775,0.5443779062086984,1.0327465060073755,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 2,R00,0.1525509405050287,0.1465417264122823,0.1585687916590928,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 2,R10,0.1673523194513031,0.158515327506535,0.1766366795600372,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 2,R01,0.2023515497163726,0.1940646993738574,0.2123892059112299,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 2,R11,0.2019401074885473,0.1891877565476692,0.2136315815465747,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 2,interaction_contrast,-0.0152128211740996,-0.0337402173383237,0.0025020572138269,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 2,RR10,1.0970258124746626,1.0266811159050355,1.173794510286332,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 2,RR01,1.3264523250166536,1.252924434675749,1.412284098428268,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 2,RR11,1.3237552441172296,1.2301703102382584,1.4226545489474858,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 2,RERI,-0.0997228933740865,-0.223792434900638,0.0160541504892314,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 2,AP,-0.0753333320621431,-0.1763443081704355,0.0118854440129964,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 2,synergy_index,0.7645146595646122,0.5374993366051156,1.0410871262981871,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\fixed_horizon_365d_additive_interaction.csv,,,,,,,,,,,,,,,,,
Model 1,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\multiplicative_interaction_mortality_v1_1.csv,psych_primary_documented_by_index,1.1219550271791174,1.0351823786175287,1.2160012660702175,0.0050804242244254,,,,29366.0,5105.0,0.0,,,,,,
Model 1,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\multiplicative_interaction_mortality_v1_1.csv,delirium_binary,1.4756888290468952,1.3745814273093888,1.5842331904893785,6.220216395654816e-27,4.249041661081719,1.0,0.0392724862705921,29366.0,5105.0,0.0,,,,,,
Model 1,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\multiplicative_interaction_mortality_v1_1.csv,psych_primary_documented_by_index:delirium_binary,0.885478041954092,0.788750115808615,0.994068142835116,0.0393251547438174,4.249041661081719,1.0,0.0392724862705921,29366.0,5105.0,0.0,,,,,,
Model 2,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\multiplicative_interaction_mortality_v1_1.csv,psych_primary_documented_by_index,1.1254209723487063,1.038399672460343,1.219734942713668,0.0040063615530171,,,,29366.0,5105.0,0.0,,,,,,
Model 2,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\multiplicative_interaction_mortality_v1_1.csv,delirium_binary,1.4659531050486836,1.3610435311026496,1.5789491350514329,5.730677015983982e-24,4.072030241208267,1.0,0.0435988423099642,29366.0,5105.0,0.0,,,,,,
Model 2,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\multiplicative_interaction_mortality_v1_1.csv,psych_primary_documented_by_index:delirium_binary,0.8877348289285779,0.7907491151633073,0.9966158815493544,0.0436546059360081,4.072030241208267,1.0,0.0435988423099642,29366.0,5105.0,0.0,,,,,,
,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\time_specific_multiplicative_interaction.csv,psych_primary_documented_by_index:delirium_binary,0.8657864782085983,0.706941351019019,1.0603230731493614,0.1634467446457193,,,,29366.0,1639.0,0.0,0_30_days,,,,,
,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\time_specific_multiplicative_interaction.csv,psych_primary_documented_by_index:delirium_binary,0.7574391125248336,0.5965162659767015,0.9617742916750832,0.0226190620701272,,,,27727.0,1213.0,0.0,30_90_days,,,,,
,,,,,,${PROJECT_DIR}\analysis\formal_models_v1\01_primary_mortality_v1_1\time_specific_multiplicative_interaction.csv,psych_primary_documented_by_index:delirium_binary,0.9667736241096409,0.8084084990216172,1.1561620658432683,0.7112278529414664,,,,26514.0,2253.0,0.0,90_365_days,,,,,
Model 1,R00,0.2472220622745736,0.2394249772817394,0.2550184469543112,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
Model 1,R10,0.2686291677436979,0.2569691187836363,0.2796849925022682,1000.0,${PROJECT_DIR}\analysis\formal_models_v1\02_readmission_outcomes_v1_2\additive_interaction_readmission_90d_v1_2.csv,,,,,,,,,,,,,readmission_90d,reported,,,
