model,metric,estimate,ci95_lower,ci95_upper,bootstrap_successful_iterations
Model 1,R00,0.15202944535182275,0.1461189259566425,0.1580281077246179,1000
Model 1,R10,0.16634161069140233,0.15731241293921563,0.17575967784459667,1000
Model 1,R01,0.20406383232564906,0.19592831894608245,0.21372745483667474,1000
Model 1,R11,0.2025523821443459,0.1906503748122105,0.21452289082730475,1000
Model 1,interaction_contrast,-0.01582361552088274,-0.03437659174714105,0.0017697961444772654,1000
Model 1,RR10,1.0941407456066075,1.0251301288308186,1.1711114441788046,1000
Model 1,RR01,1.3422651898348352,1.2688978214621818,1.4234970225546872,1000
Model 1,RR11,1.3323233645666748,1.2391352634219073,1.425513168609354,1000
Model 1,RERI,-0.10408257087476791,-0.22901812842285307,0.01139210588551002,1000
Model 1,AP,-0.07812110306165783,-0.1770073356679334,0.00838095686123142,1000
Model 1,synergy_index,0.7615005607806775,0.5443779062086984,1.0327465060073757,1000
Model 2,R00,0.15255094050502876,0.14654172641228239,0.1585687916590928,1000
Model 2,R10,0.1673523194513031,0.158515327506535,0.17663667956003723,1000
Model 2,R01,0.2023515497163726,0.19406469937385748,0.21238920591122992,1000
Model 2,R11,0.20194010748854732,0.18918775654766926,0.21363158154657477,1000
Model 2,interaction_contrast,-0.015212821174099611,-0.033740217338323726,0.0025020572138269954,1000
Model 2,RR10,1.0970258124746626,1.0266811159050355,1.173794510286332,1000
Model 2,RR01,1.3264523250166536,1.252924434675749,1.412284098428268,1000
Model 2,RR11,1.3237552441172296,1.2301703102382584,1.4226545489474858,1000
Model 2,RERI,-0.09972289337408657,-0.22379243490063805,0.01605415048923146,1000
Model 2,AP,-0.07533333206214311,-0.1763443081704355,0.011885444012996406,1000
Model 2,synergy_index,0.7645146595646122,0.5374993366051156,1.0410871262981871,1000
