variable,missing_n,nonmissing_n,denominator,missing_percent,model_variable
subject_id,0,46316,46316,0.0,False
hadm_id,0,46316,46316,0.0,False
stay_id,0,46316,46316,0.0,False
index_icu_intime,0,46316,46316,0.0,False
index_icu_outtime,0,46316,46316,0.0,False
index_admittime,0,46316,46316,0.0,False
index_dischtime,0,46316,46316,0.0,False
base_population,0,46316,46316,0.0,False
delirium_classifiable_72h,0,46316,46316,0.0,False
primary_analysis_cohort,0,46316,46316,0.0,False
conservative_readmission_cohort,0,46316,46316,0.0,False
psych_primary_documented_by_index,0,46316,46316,0.0,True
psych_primary_strict_prior,0,46316,46316,0.0,True
psych_primary_index_only,0,46316,46316,0.0,True
psych_timing_group,0,46316,46316,0.0,False
psych_depressive,0,46316,46316,0.0,True
psych_anxiety,0,46316,46316,0.0,True
psych_trauma_stressor,0,46316,46316,0.0,True
psych_bipolar,0,46316,46316,0.0,True
psych_psychotic,0,46316,46316,0.0,True
psych_common_mental_disorder,0,46316,46316,0.0,True
psych_serious_mental_illness,0,46316,46316,0.0,True
psych_category_count,0,46316,46316,0.0,False
delirium_status_72h,0,46316,46316,0.0,True
delirium_status_48h,0,46316,46316,0.0,True
joint_exposure_4level,0,46316,46316,0.0,True
death_365d_main,0,46316,46316,0.0,True
death_365d_include_same_day,0,46316,46316,0.0,True
death_same_day_discharge,0,46316,46316,0.0,True
death_date_logic_abnormal_flag,0,46316,46316,0.0,False
time_to_death_or_censor_365d,6,46310,46316,0.013,True
readmission_90d_event,0,46316,46316,0.0,True
time_to_readmission_90d,0,46316,46316,0.0,True
readmission_90d_status,0,46316,46316,0.0,False
time_to_first_readmission_or_death_90d,0,46316,46316,0.0,False
death_before_readmission_90d,0,46316,46316,0.0,True
icu_readmission_365d_event,0,46316,46316,0.0,True
time_to_icu_readmission_365d,0,46316,46316,0.0,True
icu_readmission_365d_status,0,46316,46316,0.0,False
time_to_first_icu_readmission_or_death_365d,0,46316,46316,0.0,False
death_before_icu_readmission_365d,0,46316,46316,0.0,True
age_at_index_admission,0,46316,46316,0.0,True
sex_recorded,0,46316,46316,0.0,True
race_group,0,46316,46316,0.0,True
anchor_year_group,0,46316,46316,0.0,True
admission_type_group,0,46316,46316,0.0,True
admission_location_group,0,46316,46316,0.0,True
first_careunit_group,0,46316,46316,0.0,True
prior_mimic_hospitalizations,0,46316,46316,0.0,True
prior_mimic_icu_stays,0,46316,46316,0.0,False
prior_mimic_icu_stays_constant_nonestimable,0,46316,46316,0.0,False
charlson_index_hadm,0,46316,46316,0.0,False
charlson_documented_by_index,0,46316,46316,0.0,False
charlson_strict_prior,0,46316,46316,0.0,False
charlson_comorbidity_only_documented_by_index,0,46316,46316,0.0,True
charlson_comorbidity_only_strict_prior,0,46316,46316,0.0,False
dementia_documented_by_index,0,46316,46316,0.0,True
dementia_strict_prior,0,46316,46316,0.0,False
substance_use_documented_by_index,0,46316,46316,0.0,True
substance_use_strict_prior,0,46316,46316,0.0,False
chronic_neurologic_disease,0,46316,46316,0.0,True
pre_admission_care_proxy,0,46316,46316,0.0,False
respiratory_score,25264,21052,46316,54.547,False
coagulation_score,329,45987,46316,0.71,False
liver_score,23541,22775,46316,50.827,False
cardiovascular_score,67,46249,46316,0.145,False
renal_score,31,46285,46316,0.067,False
respiratory_observed,0,46316,46316,0.0,False
coagulation_observed,0,46316,46316,0.0,False
liver_observed,0,46316,46316,0.0,False
cardiovascular_observed,0,46316,46316,0.0,False
renal_observed,0,46316,46316,0.0,False
nonneurologic_sofa_observed_components_n,0,46316,46316,0.0,True
nonneurologic_sofa_zero_imputed,0,46316,46316,0.0,True
nonneurologic_sofa_complete_case,37194,9122,46316,80.305,False
nonneurologic_sofa_complete_case_flag,0,46316,46316,0.0,False
invasive_ventilation_0_24h,0,46316,46316,0.0,True
vasopressor_any_0_24h,0,46316,46316,0.0,True
rrt_any_0_24h,0,46316,46316,0.0,True
crrt_any_0_24h,0,46316,46316,0.0,False
full_sofa_0_24h,0,46316,46316,0.0,False
oasis_0_24h,0,46316,46316,0.0,False
full_sofa_0_24h_deprecated,0,46316,46316,0.0,False
oasis_0_24h_deprecated,0,46316,46316,0.0,False
full_sofa_official_first_day,0,46316,46316,0.0,True
oasis_official_first_day,0,46316,46316,0.0,True
sepsis3_index,0,46316,46316,0.0,True
insurance_group,0,46316,46316,0.0,True
language_group,0,46316,46316,0.0,True
marital_status_group,0,46316,46316,0.0,True
hospice_discharge,0,46316,46316,0.0,False
discharge_destination_group,0,46316,46316,0.0,False
icu_los_days,0,46316,46316,0.0,False
hospital_los_days,0,46316,46316,0.0,False
maintenance_dialysis_documented_by_index,0,46316,46316,0.0,False
maintenance_dialysis_strict_prior,0,46316,46316,0.0,False
delirium_assessment_count_72h,0,46316,46316,0.0,False
delirium_uta_count_72h,0,46316,46316,0.0,False
rass_conflicting_negative_n_72h,0,46316,46316,0.0,False
approximate_discharge_year_lower,0,46316,46316,0.0,False
approximate_discharge_year_upper,0,46316,46316,0.0,False
index_first_service,1,46315,46316,0.002,False
mimic_code_commit,0,46316,46316,0.0,False
analysis_dataset_version,0,46316,46316,0.0,False
dataset_build_timestamp,0,46316,46316,0.0,False
