nonmissing_n,min_value,p25,median_value,p75,max_value,variable
46316,10000690.0,12506354.25,15001195.0,17521815.75,19999987.0,subject_id
46316,20000147.0,22485232.5,24956933.5,27463380.75,29999828.0,hadm_id
46316,30000153.0,32457200.5,34951116.5,37468374.25,39999858.0,stay_id
46316,1.0,1.0,1.0,1.0,1.0,base_population
46316,0.0,0.0,1.0,1.0,1.0,delirium_classifiable_72h
46316,0.0,0.0,1.0,1.0,1.0,primary_analysis_cohort
46316,0.0,0.0,1.0,1.0,1.0,conservative_readmission_cohort
46316,0.0,0.0,0.0,1.0,1.0,psych_primary_documented_by_index
46316,0.0,0.0,0.0,0.0,1.0,psych_primary_strict_prior
46316,0.0,0.0,0.0,0.0,1.0,psych_primary_index_only
46316,0.0,0.0,0.0,0.0,1.0,psych_depressive
46316,0.0,0.0,0.0,0.0,1.0,psych_anxiety
46316,0.0,0.0,0.0,0.0,1.0,psych_trauma_stressor
46316,0.0,0.0,0.0,0.0,1.0,psych_bipolar
46316,0.0,0.0,0.0,0.0,1.0,psych_psychotic
46316,0.0,0.0,0.0,1.0,1.0,psych_common_mental_disorder
46316,0.0,0.0,0.0,0.0,1.0,psych_serious_mental_illness
46316,0.0,0.0,0.0,1.0,5.0,psych_category_count
46316,0.0,0.0,0.0,0.0,1.0,death_365d_main
46316,0.0,0.0,0.0,0.0,1.0,death_365d_include_same_day
46316,0.0,0.0,0.0,0.0,1.0,death_same_day_discharge
46310,1.0,365.0,365.0,365.0,365.0,time_to_death_or_censor_365d
46316,0.0,0.0,0.0,1.0,1.0,readmission_90d_event
46316,0.0,81.32291666666667,90.0,90.0,90.0,time_to_readmission_90d
46316,0.0,0.0,0.0,1.0,2.0,readmission_90d_status
46316,0.0,42.083333333333336,90.0,90.0,90.0,time_to_first_readmission_or_death_90d
46316,0.0,0.0,0.0,0.0,1.0,death_before_readmission_90d
46316,0.0,0.0,0.0,0.0,1.0,icu_readmission_365d_event
46316,0.0,365.0,365.0,365.0,365.0,time_to_icu_readmission_365d
46316,0.0,0.0,0.0,1.0,2.0,icu_readmission_365d_status
46316,0.0,362.8229166666667,365.0,365.0,365.0,time_to_first_icu_readmission_or_death_365d
46316,0.0,0.0,0.0,0.0,1.0,death_before_icu_readmission_365d
46316,18.0,54.0,66.0,77.0,103.0,age_at_index_admission
46316,0.0,0.0,0.0,1.0,54.0,prior_mimic_hospitalizations
46316,0.0,0.0,0.0,0.0,0.0,prior_mimic_icu_stays
46316,0.0,2.0,4.0,7.0,18.0,charlson_index_hadm
46316,0.0,2.0,4.0,7.0,20.0,charlson_documented_by_index
46316,0.0,1.0,3.0,4.0,19.0,charlson_strict_prior
46316,0.0,1.0,2.0,4.0,18.0,charlson_comorbidity_only_documented_by_index
46316,0.0,0.0,0.0,1.0,18.0,charlson_comorbidity_only_strict_prior
46316,0.0,0.0,0.0,0.0,1.0,dementia_documented_by_index
46316,0.0,0.0,0.0,0.0,1.0,dementia_strict_prior
46316,0.0,0.0,0.0,0.0,1.0,substance_use_documented_by_index
46316,0.0,0.0,0.0,0.0,1.0,substance_use_strict_prior
46316,0.0,0.0,0.0,0.0,1.0,chronic_neurologic_disease
21052,0.0,0.0,2.0,3.0,4.0,respiratory_score
45987,0.0,0.0,0.0,1.0,4.0,coagulation_score
22775,0.0,0.0,0.0,1.0,4.0,liver_score
46249,0.0,1.0,1.0,1.0,4.0,cardiovascular_score
46285,0.0,0.0,0.0,1.0,4.0,renal_score
46316,0.0,0.0,0.0,1.0,1.0,respiratory_observed
46316,0.0,1.0,1.0,1.0,1.0,coagulation_observed
46316,0.0,0.0,0.0,1.0,1.0,liver_observed
46316,0.0,1.0,1.0,1.0,1.0,cardiovascular_observed
46316,0.0,1.0,1.0,1.0,1.0,renal_observed
46316,1.0,3.0,4.0,4.0,5.0,nonneurologic_sofa_observed_components_n
46316,0.0,1.0,3.0,5.0,19.0,nonneurologic_sofa_zero_imputed
9122,0.0,4.0,6.0,8.0,19.0,nonneurologic_sofa_complete_case
46316,0.0,0.0,0.0,0.0,1.0,nonneurologic_sofa_complete_case_flag
46316,0.0,0.0,0.0,1.0,1.0,invasive_ventilation_0_24h
46316,0.0,0.0,0.0,1.0,1.0,vasopressor_any_0_24h
46316,0.0,0.0,0.0,0.0,1.0,rrt_any_0_24h
46316,0.0,0.0,0.0,0.0,1.0,crrt_any_0_24h
46316,0.0,2.0,4.0,6.0,22.0,full_sofa_0_24h
46316,6.0,24.0,30.0,36.0,64.0,oasis_0_24h
46316,0.0,2.0,4.0,6.0,22.0,full_sofa_official_first_day
46316,6.0,24.0,30.0,36.0,64.0,oasis_official_first_day
46316,0.0,0.0,0.0,1.0,1.0,sepsis3_index
46316,0.0,0.0,0.0,0.0,1.0,hospice_discharge
46316,1.0,1.4972482638888889,2.2786979166666668,4.122728587962962,159.66680555555556,icu_los_days
46316,0.041666666666666664,4.791666666666667,7.583333333333333,12.791666666666666,321.5833333333333,hospital_los_days
46316,0.0,0.0,0.0,0.0,1.0,maintenance_dialysis_documented_by_index
46316,0.0,0.0,0.0,0.0,1.0,maintenance_dialysis_strict_prior
46316,0.0,1.0,4.0,6.0,22.0,delirium_assessment_count_72h
46316,0.0,0.0,0.0,1.0,21.0,delirium_uta_count_72h
46316,0.0,0.0,0.0,0.0,2.0,rass_conflicting_negative_n_72h
46316,2008.0,2011.0,2014.0,2017.0,2023.0,approximate_discharge_year_lower
46316,2010.0,2013.0,2016.0,2019.0,2025.0,approximate_discharge_year_upper
