outcome,model,metric,estimate,ci95_lower,ci95_upper,bootstrap_successful_iterations,formal_interpretability,synergy_index_same_rr_direction,synergy_index_denom,synergy_index_bootstrap_denom_sign_flip_fraction
readmission_90d,Model 1,R00,0.24722206227457366,0.23942497728173942,0.2550184469543112,1000,reported,,,
readmission_90d,Model 1,R10,0.26862916774369794,0.2569691187836363,0.27968499250226825,1000,reported,,,
readmission_90d,Model 1,R01,0.2805888227944892,0.26808850150943897,0.29312502904939136,1000,reported,,,
readmission_90d,Model 1,R11,0.28534644716311147,0.2691008931233989,0.30225015039489306,1000,reported,,,
readmission_90d,Model 1,interaction_contrast,-0.016649481100502017,-0.03972722213905089,0.008883247712713514,1000,reported,,,
readmission_90d,Model 1,RR10,1.0865905949985515,1.032297549999809,1.140408395620045,1000,reported,,,
readmission_90d,Model 1,RR01,1.1349667590866435,1.072460923824336,1.1928471635589732,1000,reported,,,
readmission_90d,Model 1,RR11,1.1542110948261386,1.0811473759489865,1.2357158688005614,1000,reported,,,
readmission_90d,Model 1,RERI,-0.06734625925905635,-0.16310559685741624,0.0355512751615213,1000,reported,,,
readmission_90d,Model 1,AP,-0.05834830349573175,-0.14532014660132525,0.030003608346901835,1000,reported,,,
readmission_90d,Model 1,synergy_index,0.696032390632541,0.3799942996318245,1.2272536504089444,1000,interpretable,True,0.22155735408519495,0.0
readmission_90d,Model 2,R00,0.2517341502309366,0.2438561691305211,0.25988225451334296,1000,reported,,,
readmission_90d,Model 2,R10,0.27468592157434135,0.2629178589882624,0.28602966048310113,1000,reported,,,
readmission_90d,Model 2,R01,0.26900727179325257,0.25572929239032405,0.28141223397433446,1000,reported,,,
readmission_90d,Model 2,R11,0.2748915571338806,0.2580781929407373,0.2919537264688718,1000,reported,,,
readmission_90d,Model 2,interaction_contrast,-0.017067486002776744,-0.04030689072890851,0.006573534969883066,1000,reported,,,
readmission_90d,Model 2,RR10,1.0911746432589666,1.0376886304331683,1.1446878784712682,1000,reported,,,
readmission_90d,Model 2,RR01,1.0686165208275076,1.0064980343257908,1.1280493477278075,1000,reported,,,
readmission_90d,Model 2,RR11,1.0919915191550285,1.0191838689495414,1.1733921031186318,1000,reported,,,
readmission_90d,Model 2,RERI,-0.06779964493144575,-0.16104527578053768,0.026367263517336592,1000,reported,,,
readmission_90d,Model 2,AP,-0.06208806913070936,-0.1502180691818487,0.023729332273899853,1000,reported,,,
readmission_90d,Model 2,synergy_index,0.575698410365453,0.14477317258413008,1.3208209563638977,1000,interpretable,True,0.1597911640864742,0.0
