outcome,cause,model,contrast,term,HR,CI95_lower,CI95_upper,p_value,analysis_n,event_n,AIC_partial,concordance,penalizer,converged_without_ridge,fit_error_if_any
readmission_90d,competing_death,Model 0,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,"C(joint_exposure_4level, Treatment(reference='1_no_primary_psych_no_delirium'))[T.2_primary_psych_no_delirium]",1.234969992662169,1.0612208536900873,1.4371663329765225,0.006371158415130324,24033,1580,30960.01148986793,0.6219730522046756,0.0,True,
readmission_90d,competing_death,Model 0,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,"C(joint_exposure_4level, Treatment(reference='1_no_primary_psych_no_delirium'))[T.3_no_primary_psych_delirium]",2.7243043857898606,2.4117670596998297,3.077342961702776,1.84011885586323e-58,24033,1580,30960.01148986793,0.6219730522046756,0.0,True,
readmission_90d,competing_death,Model 0,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,"C(joint_exposure_4level, Treatment(reference='1_no_primary_psych_no_delirium'))[T.4_primary_psych_delirium]",2.7022132917060318,2.3380713449291997,3.1230683741577026,2.66943798810652e-41,24033,1580,30960.01148986793,0.6219730522046756,0.0,True,
readmission_90d,competing_death,Model 1,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,"C(joint_exposure_4level, Treatment(reference='1_no_primary_psych_no_delirium'))[T.2_primary_psych_no_delirium]",1.137797101486196,0.9732909827458124,1.3301081250112499,0.10519049336928954,24033,1580,29005.656313661075,0.8310620095190018,0.0,True,
readmission_90d,competing_death,Model 1,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,"C(joint_exposure_4level, Treatment(reference='1_no_primary_psych_no_delirium'))[T.3_no_primary_psych_delirium]",1.8414594191921982,1.6221258891344787,2.090449832066361,3.875462711007401e-21,24033,1580,29005.656313661075,0.8310620095190018,0.0,True,
readmission_90d,competing_death,Model 1,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,"C(joint_exposure_4level, Treatment(reference='1_no_primary_psych_no_delirium'))[T.4_primary_psych_delirium]",1.846057239276109,1.5811791207185666,2.1553075714375716,8.631853847141109e-15,24033,1580,29005.656313661075,0.8310620095190018,0.0,True,
readmission_90d,competing_death,Model 2,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,"C(joint_exposure_4level, Treatment(reference='1_no_primary_psych_no_delirium'))[T.2_primary_psych_no_delirium]",1.138852030822224,0.9742401754319182,1.331277420922311,0.10261049763278901,24033,1580,28989.38431499069,0.8320385248815404,0.0,True,
readmission_90d,competing_death,Model 2,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,"C(joint_exposure_4level, Treatment(reference='1_no_primary_psych_no_delirium'))[T.3_no_primary_psych_delirium]",1.7946349393501397,1.5726854771445802,2.047907615567173,3.883833849562104e-18,24033,1580,28989.38431499069,0.8320385248815404,0.0,True,
readmission_90d,competing_death,Model 2,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,"C(joint_exposure_4level, Treatment(reference='1_no_primary_psych_no_delirium'))[T.4_primary_psych_delirium]",1.813916875219316,1.5471102933793712,2.1267355302887805,2.20268978494723e-13,24033,1580,28989.38431499069,0.8320385248815404,0.0,True,
icu_readmission_365d,competing_death,Model 0,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,"C(joint_exposure_4level, Treatment(reference='1_no_primary_psych_no_delirium'))[T.2_primary_psych_no_delirium]",1.281374474787455,1.1584596478597597,1.417330804461126,1.4440589099737666e-06,24033,3077,60816.65725333131,0.5933260406548323,0.0,True,
icu_readmission_365d,competing_death,Model 0,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,"C(joint_exposure_4level, Treatment(reference='1_no_primary_psych_no_delirium'))[T.3_no_primary_psych_delirium]",2.155183780858991,1.9731186245991215,2.354048596658167,3.3851774384293554e-65,24033,3077,60816.65725333131,0.5933260406548323,0.0,True,
icu_readmission_365d,competing_death,Model 0,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,"C(joint_exposure_4level, Treatment(reference='1_no_primary_psych_no_delirium'))[T.4_primary_psych_delirium]",2.1351977909275437,1.9214916746195527,2.3726720581730025,3.902012133675814e-45,24033,3077,60816.65725333131,0.5933260406548323,0.0,True,
icu_readmission_365d,competing_death,Model 1,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,"C(joint_exposure_4level, Treatment(reference='1_no_primary_psych_no_delirium'))[T.2_primary_psych_no_delirium]",1.2095335935044766,1.0896433026671564,1.3426150651638826,0.00035436614622355855,24033,3077,57464.829996129985,0.8081550661119362,0.0,True,
icu_readmission_365d,competing_death,Model 1,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,"C(joint_exposure_4level, Treatment(reference='1_no_primary_psych_no_delirium'))[T.3_no_primary_psych_delirium]",1.5497509842809492,1.4141701746395212,1.698330339834796,6.667841346324581e-21,24033,3077,57464.829996129985,0.8081550661119362,0.0,True,
icu_readmission_365d,competing_death,Model 1,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,"C(joint_exposure_4level, Treatment(reference='1_no_primary_psych_no_delirium'))[T.4_primary_psych_delirium]",1.5843310653353324,1.415614149034891,1.7731561430760483,1.1483276939371402e-15,24033,3077,57464.829996129985,0.8081550661119362,0.0,True,
