outcome,cause,model,time_window,contrast,group,coefficient,standard_error,HR,CI95_lower,CI95_upper
icu_readmission_365d,target,Model 2,0_30_days,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,2_primary_psych_no_delirium,-0.15092533141992162,0.07935347247827301,0.8599119046630038,0.7360493304161924,1.004618105369433
icu_readmission_365d,target,Model 2,30_90_days,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,2_primary_psych_no_delirium,0.16156653372856652,0.09014523702044953,1.1753506560184668,0.9849955743837978,1.4024927629418635
icu_readmission_365d,target,Model 2,90_365_days,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,2_primary_psych_no_delirium,0.021384425494010095,0.07680938457234827,1.021614710898503,0.8788316111837049,1.1875956716195823
icu_readmission_365d,target,Model 2,0_30_days,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,3_no_primary_psych_delirium,0.2602136241075249,0.07410856852118569,1.2972071717930358,1.1218294944323826,1.5000019654526144
icu_readmission_365d,target,Model 2,30_90_days,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,3_no_primary_psych_delirium,0.21698626855260986,0.09456176146070897,1.2423270430722082,1.0321512496816936,1.4953006959246524
icu_readmission_365d,target,Model 2,90_365_days,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,3_no_primary_psych_delirium,0.11848523787874146,0.08027035119332568,1.1257902549270637,0.9619001282822537,1.3176042510276538
icu_readmission_365d,target,Model 2,0_30_days,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,4_primary_psych_delirium,-0.07054050675340579,0.09786203835942378,0.9318899909232051,0.7692416635614644,1.1289286531390046
icu_readmission_365d,target,Model 2,30_90_days,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,4_primary_psych_delirium,0.23133118404091207,0.11098958175895463,1.2602765538232485,1.0138871466855919,1.5665421909221002
icu_readmission_365d,target,Model 2,90_365_days,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,4_primary_psych_delirium,0.0033533298414894636,0.09981979051292646,1.0033589585418734,0.8250647098316406,1.220182111402707
icu_readmission_365d,competing_death,Model 2,0_30_days,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,2_primary_psych_no_delirium,0.10238520403822689,0.09378643595164193,1.1078101224816297,0.9217915086652325,1.331367511998271
icu_readmission_365d,competing_death,Model 2,30_90_days,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,2_primary_psych_no_delirium,0.28037297786337173,0.1044854396398038,1.3236234025111882,1.0785111402316168,1.6244421094241517
icu_readmission_365d,competing_death,Model 2,90_365_days,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,2_primary_psych_no_delirium,0.21321942472323105,0.07830798298109147,1.2376561938187178,1.0615560231164665,1.4429693965664383
icu_readmission_365d,competing_death,Model 2,0_30_days,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,3_no_primary_psych_delirium,0.7403247584823642,0.07538957657372997,2.09661629787029,1.808614691450602,2.4304789302411676
icu_readmission_365d,competing_death,Model 2,30_90_days,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,3_no_primary_psych_delirium,0.43234412631627417,0.09542828790248906,1.5408652762260904,1.278010640764381,1.8577824970684533
icu_readmission_365d,competing_death,Model 2,90_365_days,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,3_no_primary_psych_delirium,0.14301287209654379,0.07669802788292068,1.1537446526829847,0.9927114288545922,1.3408999684132357
icu_readmission_365d,competing_death,Model 2,0_30_days,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,4_primary_psych_delirium,0.8207182134881165,0.08702406204563938,2.2721311268773707,1.9158301969090068,2.694695942288788
icu_readmission_365d,competing_death,Model 2,30_90_days,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,4_primary_psych_delirium,0.28026691707181006,0.12224162098884918,1.3234830254097731,1.041511829647871,1.6817930134696735
icu_readmission_365d,competing_death,Model 2,90_365_days,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,4_primary_psych_delirium,0.20045688949155593,0.09294669183051875,1.221960931747444,1.0184495007821337,1.466138986341851
