outcome,analysis,term,HR,CI95_lower,CI95_upper,p_value,n,events,converged,warning,error,metric,estimate,ci95_lower,ci95_upper
365-day mortality,48h delirium definition multiplicative interaction,psych_primary_documented_by_index:delirium_binary_48h,0.8863134674842602,0.7868933532661976,0.9982948253195235,0.04680307764238645,27831.0,4854.0,True,,,,,,
90-day same-system readmission,48h delirium definition multiplicative interaction,psych_primary_documented_by_index:delirium_binary_48h,0.9045304123997061,0.8083374986479844,1.012170372306682,0.08027488458539797,22927.0,6022.0,True,,,,,,
365-day same-system ICU readmission,48h delirium definition multiplicative interaction,psych_primary_documented_by_index:delirium_binary_48h,0.7993018635932618,0.681616368688103,0.9373065238637255,0.0058387650076496015,22927.0,3084.0,True,,,,,,
365-day mortality,48h delirium definition additive interaction,,,,,,,,,,,R00,0.15383925071816357,,
365-day mortality,48h delirium definition additive interaction,,,,,,,,,,,R10,0.17010624435207003,,
365-day mortality,48h delirium definition additive interaction,,,,,,,,,,,R01,0.20154267291389824,,
365-day mortality,48h delirium definition additive interaction,,,,,,,,,,,R11,0.20411302340973217,,
365-day mortality,48h delirium definition additive interaction,,,,,,,,,,,interaction_contrast,-0.013696643138072534,,
365-day mortality,48h delirium definition additive interaction,,,,,,,,,,,RR10,1.1057402032184094,,
365-day mortality,48h delirium definition additive interaction,,,,,,,,,,,RR01,1.3100861579411112,,
365-day mortality,48h delirium definition additive interaction,,,,,,,,,,,RR11,1.3267941858587904,,
365-day mortality,48h delirium definition additive interaction,,,,,,,,,,,RERI,-0.08903217530073015,,
365-day mortality,48h delirium definition additive interaction,,,,,,,,,,,AP,-0.06710322991286138,,
365-day mortality,48h delirium definition additive interaction,,,,,,,,,,,synergy_index,0.785890978502502,,
