outcome,analysis,term,HR,CI95_lower,CI95_upper,p_value,n,events,converged,warning,error,metric,estimate,ci95_lower,ci95_upper
365-day mortality,strict-prior psychiatric exposure multiplicative interaction,psych_primary_strict_prior:delirium_binary_72h,0.9260745352321509,0.792677025178172,1.0819211577535963,0.3331577248535865,29455.0,5105.0,True,,,,,,
90-day same-system readmission,strict-prior psychiatric exposure multiplicative interaction,psych_primary_strict_prior:delirium_binary_72h,0.921585115826074,0.8026676323907492,1.0581205612869393,0.24666288994454894,24033.0,6321.0,True,,,,,,
365-day same-system ICU readmission,strict-prior psychiatric exposure multiplicative interaction,psych_primary_strict_prior:delirium_binary_72h,0.8691359668016666,0.7122577822988474,1.0605673220588552,0.16728712933233003,24033.0,3228.0,True,,,,,,
365-day mortality,strict-prior psychiatric exposure additive interaction,,,,,,,,,,,R00,0.15635189114544637,,
365-day mortality,strict-prior psychiatric exposure additive interaction,,,,,,,,,,,R10,0.16203865278778434,,
365-day mortality,strict-prior psychiatric exposure additive interaction,,,,,,,,,,,R01,0.20134938343570583,,
365-day mortality,strict-prior psychiatric exposure additive interaction,,,,,,,,,,,R11,0.19763521045261231,,
365-day mortality,strict-prior psychiatric exposure additive interaction,,,,,,,,,,,interaction_contrast,-0.009400934625431484,,
365-day mortality,strict-prior psychiatric exposure additive interaction,,,,,,,,,,,RR10,1.0363715564978224,,
365-day mortality,strict-prior psychiatric exposure additive interaction,,,,,,,,,,,RR01,1.2877962777463339,,
365-day mortality,strict-prior psychiatric exposure additive interaction,,,,,,,,,,,RR11,1.2640410615101683,,
365-day mortality,strict-prior psychiatric exposure additive interaction,,,,,,,,,,,RERI,-0.06012677273398803,,
365-day mortality,strict-prior psychiatric exposure additive interaction,,,,,,,,,,,AP,-0.04756710407979445,,
365-day mortality,strict-prior psychiatric exposure additive interaction,,,,,,,,,,,synergy_index,0.8145196210654823,,
