"relative_path","classification","scanned_body","contributed_equally_count","equal_contribution_count","co_first_author_count","joint_first_author_count","author_dagger_context_count","jieyang_orcid_count","gezhang_orcid_count","notes"
"README.md","active author metadata","true","0","0","0","0","0","1","1","active file scanned for author-contribution metadata"
"CITATION.cff","active author metadata","true","0","0","0","0","0","1","1","active file scanned for author-contribution metadata"
".zenodo.json","active author metadata","true","0","0","0","0","0","1","1","active file scanned for author-contribution metadata"
"CHANGELOG.md","active author metadata","true","0","0","0","0","0","1","1","active file scanned for author-contribution metadata"
"RELEASE_NOTES_v1.0.0.md","active author metadata","true","0","0","0","0","0","0","0","active file scanned for author-contribution metadata"
"RELEASE_NOTES_v1.0.1.md","active author metadata","true","0","0","0","0","0","0","0","active file scanned for author-contribution metadata"
"RELEASE_NOTES_v1.0.2.md","active author metadata","true","0","0","0","0","0","0","0","active file scanned for author-contribution metadata"
"RELEASE_NOTES_v1.0.3.md","active author metadata","true","0","0","0","0","0","1","1","active file scanned for author-contribution metadata"
"RELEASE_NOTES_v1.0.4.md","active author metadata","true","0","0","0","0","0","0","0","active file scanned for author-contribution metadata"
"orcid_correction_scan_before.csv","historical audit evidence - not active author metadata","false","not_counted","not_counted","not_counted","not_counted","not_counted","not_counted","not_counted","preserved unchanged; historical strings are excluded from active residual counts"
"orcid_correction_scan_after.csv","historical audit evidence - not active author metadata","false","not_counted","not_counted","not_counted","not_counted","not_counted","not_counted","not_counted","preserved unchanged; historical strings are excluded from active residual counts"
